entry,word,translation,partofspeech
275,arrebashamiento,scorn,
276,arregalar,make a present of,
277,arreglamiento,arrangement;settlement,
278,arreglar,arrangement;settlement,
279,arrekojer;rekojer,collect,
280,arrelumbrar;asender,illuminate,
281,arrelumbrar;briyar,sparkle;shine,
282,arremangarse,roll up one's sleeves,
283,arrematar,finish off,
284,arrepentimiento,repentance,
285,arrepentirse;esvachearse,give up,
286,arrepintirse,repent,
287,arrepushar;arrondjar,push;shove,
288,arresentarse,moderate oneself;temper down,
289,arrestar,arrest;stop,
290,arretarse;kedarse,stop,
291,arreventár,burst;crush;smash,(v)
292,arrevés,upside down,(adv)
293,arrimár;apoyár,lean;support,(v)
294,arrimárse,lean;come close to,(v)
295,arríva,up;on the top;upstairs,(adv)
296,arrivar,arrive,
297,arrogar,pray,
298,arrondjár,push;expel;shove,(v)
299,arroz,rice,
300,arrozar,water;irrigate,
301,arrufiar,water;sprinkle,
302,arrufyar,irrigate,
303,arrugar,wrinkle,
304,artikolo,article,
305,arto/a,full;fed up,
306,arvolé;arvól,tree,(m)
307,as;ázo,ace,(m)
308,asaltar,assault,
309,asegurar,secure;insure,
310,asemejante,similar,
311,asender,light;ignite,
312,asentador,seat,
313,asentarse,sit,
314,asér ke,whereas,(adv)
315,aserkar,bring near,
316,aserkarse,approach;come near,
317,ashugár,trousseau,(m)
318,así,so;thus,
319,asigun,according to,
320,asistir,assist,
321,asolombrar,cast a shadow on,
322,asparago,asparagus,
323,aspekto,aspect,
324,asperár,wait,
325,asperar;esperar,wait;hope,
326,aspirin,aspirin,
327,ásta,till;until;up to,(prep)
328,astronomiko/a,astronomical,
329,astronoto/a,astronaut,
330,asukar,sugar,
331,atagantár;atagentár,annoy;bore,(v)
332,atakanár,arrange;put in order,(v)
333,atakanárse,dress up,(v)
334,atakar,attack,
335,atamiento,attachment,
336,atansión;atansyón;atensión,attention;civility,
337,atar,tie,
338,atarse,get attached,
339,atomiko/a,atomic,
340,atrás,back;backwards;behind,
341,atrazar,retard,
342,atrazarse,retard;back up,
343,atrivírse;tenér koráje,dare,(v)
344,atudrido/a,thoughtless,
345,aturvar,disturb,
346,aumár;afumár,smoke;cure,(v)
347,aumentár;augmentár,increase;augment,(v)
348,aunar,unite,
349,aunke,although;though,
350,autór;otór,author,(m)
351,autoridád,authority,(f)
352,áva fréska,broad beans;fava beans,(f)
353,áva;avíka,dry beans,(f)
354,avagar,slowly,
355,avansar,advance,
356,avantaje,advantage,
357,avenida,avenue,
358,avenír,future,(m)
359,aver,have,
360,averdadear,make evident,
361,avertír,advise;warn,(v)
362,avion,plane;airplane,
363,avizo,news,
364,ávla,speeh;language;dialect,
365,avladéro,babbling;chattering,
366,avlánte,speaker,
367,avlar,speak,
368,avokato,lawyer,
369,avramilá,green plum,(f)
370,avril,April,
371,avríl,April,(m)
372,avrir,open,
373,avuelo;avuela,grandfather;grandmother,
374,avyána,hazelnut,(f)
375,avyertura,opening,
376,aya,there,
377,áyde,come on,
378,ayegar,reach;arrive,
379,ayer,yesterday,
380,ayi,there;just there,
381,aynara,evil eye,
382,ayre,air;wind;draught,
383,ayúda,help;assistance;aid,(f)
384,ayúda,enema,(f)
385,ayudár,help,(v)
386,ayúdo,help;assistance,(m)
