word,translation,partofspeech
driver,shofor,
drum,tambur,
drunk,borracho/a,
dry,sekar,
duration,durasion,
during,durante,
ear,oreja,
early,temprano,
east,este,
edge,bodre,
edict;decree,dekreto,
edit,editar,
effort,esforso,
egg,guevo,
eighth,ochen,
elbow,kovdo,
elect,elijir,
election,eleksion,
electrical home appliances,intrumiento de kaza,
electricity,elektrisita,
electronics,elektronika,
eleven,onze,
embargo,embargo,
embroider,brodar,
emerald,esmeralda,
emission,emision,
emperor,imperador,
empire,imperio,
employee,empiegado/a,
empty,vaziyo/a,
encourage,enkorajar,
engagement,espozorio,
enough,ya basta,
enough;quite,bastánte,
enter,entrar,
enterprise,entreprisa,
entertain,azer pasar el tiempo,
enthusiasm,entuziasmo,
entirely,enteramente,
entrance,entrada,
entrust,konfiar,
envy;jealousy,embidia,
epoch;period;time,epóka,
equal;same,igual,
especially,espesialménte,
establish,estableser,
esteem,estimár,
esteemed,estimádo,
etc;et caetera;and so on,Ets;etsétera,
Europe,Evropa,
eve;day before,arba,
every,kada,
evil,mal,
evil eye,aynara,
examination,egzamen,
examine,egzaminar,
example,egzempio,
example,enshémplo,
excellent,ekselente,
except,ekseptado,
except,si no,
exception,eksepsion,
exclaim,esklamar,
excommunicated person;rascal;scoundrel,,
excuse,ekskuza,
excuse,eskuzar,
excuse;exonerate,diskulpar,
execute,egzekutir,
exemplary,egzemplar,
exercise,egzersis,
exile,egziliar,
exist,egzistir,
exit,salida,
experiment,eksperimentar,
explain,eksplikar;dar a entender,
explanation,eksplikasion,
explode,eksplozar,
explore,eksplorar,
explosion,eksplozion,
expose,ekspozar,
exposition,ekspozision,
express,ekspresar,
extend,espandir,
extensive,espandido/a;ancho,
exultant,egzaltado/a,
eyebrow,seja,
eyelash,pestanya,
eyelid,parparo,
ezpulsion;ejection,ekspulsion,
face,fácha;faz;kára,
face;shape,figura,
face;side,kára,
fact,fakto,
fail the exam,no reushir el egzamen,
fairy,fada,
faith;belief,fey,
fall,kayer,
fame,fama,
familiar,familiar;familyar,
family,familial;familyal,(adj)
famous,famozo/a,
fantastic,fantastiko/a,
far,leshano/a,
farmyard;patio,kortijo,
fascist,fashisto/a,
fashion show,defile,
fat,godro/a,
fated,fadado/a,
father,padre,
father,,(m/f)
fatness;fat,godrura;gudrura,
fatten,engodrar,
fault,kulpa,
fault;error,falta,
favour,favor,
favour,hatir,
fear,tener temor,
fear;fright;terror,espanto,
fearsome,espantavle,
feast,fiesta,
feast,fiestar,
federation,federasion,
feel comfortable,estar repozado,
feel good,sentirse bien,
feel uncomfortable,estar desrepozado,
feeling,sentimiento,
fever,kayentura,
fiancé;fiancée;newly-wed,nóvio;nóvyo/nóvia;,
field,kampo;terreno,
fifth,sinken,
fifty,sinkuenta,
fig,igo,
fill;stuff,inchir,
film;movie,filmo,
final;end,final,
finally,a la fin,
finally,enfin,
finally,finalmente,
financial,de banka,
find,topar,
find out,tomar haber;informarse,
find;meet,enkontrar,
find;meet,enkontrarse,
finger,dedo,
finish,eskapar,
finish off,arrematar,
first,primero/a,
first-born,bohór/bohóra,
fish,peshkar,
koza,De peshkado i agua de mar,
fist,punyo,
fit,kaver,
five,sinko,
flame,flama,
fleet,flota,
flirtatious remark,shakaruka,
floor,patin,
florist,floristo/a,
flour,arina,
flower,flor,
fly,bolar,
fly,moshka,
folklore,folklór,
follow,seguir;perseguir;ir detras,
follow,siguir,
foot,pie,
football,futbol,
for what,por ke,
force;compel,ovligar,
force;strength,fuérsa;huérsa,
forecast,previsto,
forehead,frente,
fork,piron,
form;shape,forma,
form;shape,formar,
foundation,fondasion,
four,kuatro,
fox,renar,
fox,renar,
frame,kuadro,
frame,kuadro,
frank;open;Frankish,fránko;fránka,
free,libre;libero,
freedom,libertad,
French,fransez,
fresh,fresko/a,
frighten,espantar,
from bad to worse,ir de mal en peor,
from time to time,de vez en kuando,
frontier,frontiera,
fruit,fruta,
fruit,de fruta,(tree)
fruit bowl,frutiera,
fruit seller,frutero,
fulfil,komplir,
full,yeno/a,
full;fed up,arto/a,
function,fonksionar,
function,fonksion,
furniture,moble,
future,futúro,
gardener,guertalano/a,
gas station,estasion de benzin,
gas;petrol,petrolio,
gender,djenero,
generation,jenerasion,
generous,jenerozo/a,
gentleman,sinyor,
geranium,jeraniom,
gesture,djesto,
get attached,atarse,
get damaged,estropiarse,
get dressed,vistirse,
get suntanned,kemarse del sol,
get together,reunirse,
gibberish,patrania,
girl;daughter,ija,
give,dar,
give birth,meter al mundo,
give birth,parir,
give up,arrepentirse;esvachearse,
glass,vidro,
glass;tumbler,kupa,
go,irse,
go across,traversar,
go out,salir,
go over,pasar al enemigo,(to enemy)
go shopping,ir a komprar/emplear,
go;march;suit,ir,
go;split,partir,
goal,búto,
God,Dio,
gold,oro,
good ;nice,dobro,
good luck,dícha,
good;OK,bueno,
razon? Ansina ke sea,Adiyo!,
gossip,estórias;istórias;estóryas,
government,governo,
grace,grasia,
gracefulness,gayardiya,
grade,grado,
grammar,gramer,
grammer,gramátika,
grandfather,nono,
grandfather,papu;nono;granpapa,
grandfather;grandmother,avuelo;avuela,
grandmother,vava;nona;granmama,
grass,yerva,
grate,rayador,
grate,rayar,
grave;serious,grave,
gravy,kaldo,
graze,komer yerva,
green,vedre,
grey,grizo/a,
grocer,bakal,
grow,engrandeser,
grow;increase,kreser,
guest,invitado/a,
guest,musafir,
guide,giador/a,
guitar,gitara,
gunpowder,polvora,
gust,bora,
haberdashery,merseriya,
habit,manya,
hairdresser;barber,kuafor;berber,
half,mitad,
half,média,
hamburger,hamburger,
hand,mano,
hang,enkolgar,
hang,pender,(person)
happiness;felicity,felisida,
happiness;luck;good fortune,bonora,
happy,feliche,
hard,duro/a,
hard-working;industrious,laboriozo/a,
have,aver,
have a good time,divertirse,
have a good time,eglenearse,
have lunch,komer por midi,
have;hold,tener,
hay,yerva seka,
head,kavesa,
heal;cure,sanar,
health,sanedad,
heap,monton,
heart,korason,
heat,kalor,
heaviness;weight,pezgades,
Hebrew,ebreo,
Hebrew,ivrít,
hell,inferno,
hell,ginnam,
hen,gayina,
henhouse,gayinero,
hero,eroe,
hiccough;hiccup,tener sangluto,
hidden,eskondido/a,
hide,eskonderse,
hide;keep,guadrar,
high school,kolej;lise,
him;to him;to her;to it,le,
hoe,kavakadura,
hold os in check,kontenerse,
holiday,vakansas,
homage,omenaje,
honour,onor,
hope,esperansa,
hope,esperar,
horrible,orivle,
horse,kavayo,
hospital,ospital;espital;eshpital;ispital,
hospitality,ospitalidad,
hot,kayente,
hot flushes;reddening of the face,alhamóra;,
hot;peppery,pikante,
house,kaza,
how,komo,
how many;all those,kuántos;kuántas,
how much,kuánto,
howl,echar chiyo,
humanity,umanidad,
humiliate,umiliar;arrebashar,
humiliation,umiliasion,
Hungary,Ungaria,
hunt,kasar,
hurl,echar kon fuersa,
hurl,echar,
hurry,apresurarse,
hurry;haste,prisa,
hurt,ergueler,
hurt,ferido/a,
husband,marído,
idea,idea,
idle;lazy,haragán;haragana/paresozo;,
ill;sick,hazino/a,
illness;sickness,hazinura,
illuminate,arrelumbrar;asender,
illusion,iluzion,
image,imaje,
imagine,imajinar,
imbroglio;tangle,embrolio,
imitate,imitar,
immediately,imediatamente,
immediately;at once,devista;pishin,
immense,imenso/a,
impatient,impasiente,
impediment,impedimiento,
impose,forsar,
impossible,emposivle,
improve;recover,amijorarse,
imprudence,imprudensia,
in front,delantre,
in respect to,en raporto a,
in the middle;obvious,en medio,
in;into;upon;at;by,en,
inauguration;opening,seremonia de aviertura,
incident,insidente,
incline,enklinar,
include,inkluir,
included,inkluzo,
inconvenient,inkonvenivle,
index-finger,segundo dedo,
industrial,industrial,
infirmary,enfirmeria,
influence,influensa,
inform,dar haber;informar,
inform,informar,
information,informasion,
infrastructure,infrastruktura,
inheritance,erensia,
inheritance,patrimonyo,
initial,inisial/a,
initiate,inisiar,
injury;wound,ferida,
inn;motel,motel,
innocent,inosente,
inquisition;inquiry,inkizision,
insecurity,inseguridad,
institute,institúto,
intelligent,intelijente,
intensify,intensifikar,
